Date;Closing_rate;Change;Turnover;Transactions
31.10.2000;18,15;0,027934777;416086;540
02.11.2000;18,8;0,035186309;1134831;714
03.11.2000;18,9;0,005305052;1069412;1174
06.11.2000;19,6;0,036367644;1018118;1066
07.11.2000;19,7;0,00508907;1351281;1128
08.11.2000;19,6;-0,00508907;483400;818
09.11.2000;19;-0,031090587;984482;930
10.11.2000;18,7;-0,015915455;603669;663
13.11.2000;18,5;-0,010752792;1094919;773
14.11.2000;19,05;0,029296369;593801;731
15.11.2000;19,2;0,007843177;554609;720
16.11.2000;19,5;0,015504187;448596;581
17.11.2000;19,9;0,020305266;843353;839
20.11.2000;20,1;0,010000083;1141001;1376
21.11.2000;20,3;0,009901071;792482;1031
22.11.2000;20,1;-0,009901071;469535;794
23.11.2000;19,9;-0,010000083;558239;680
24.11.2000;20,5;0,029705154;912423;1080
27.11.2000;20,5;0;964388;1241
28.11.2000;20,1;-0,019705071;871396;790
29.11.2000;19,9;-0,010000083;1079820;808
30.11.2000;19,85;-0,002515725;748483;774
01.12.2000;20,2;0,017478597;490157;607
04.12.2000;20,1;-0,004962789;711917;886
05.12.2000;20,9;0,039029344;886028;1138
06.12.2000;21,3;0,018957914;1632988;1640
07.12.2000;21,1;-0,009434032;863437;947
08.12.2000;21,2;0,004728141;819756;970
11.12.2000;21;-0,009478744;583983;791
12.12.2000;21,4;0,018868484;780961;868
13.12.2000;21,7;0,013921339;1654148;1339
14.12.2000;21,9;0,009174376;1483597;1786
15.12.2000;21,5;-0,018433702;807775;975
18.12.2000;21,2;-0,014051753;594354;913
19.12.2000;21,6;0,018692133;998036;1143
20.12.2000;21;-0,028170877;841227;884
21.12.2000;21,5;0,023530497;1475195;1180
22.12.2000;22,5;0,045462374;1995341;2198
27.12.2000;22,5;0;853534;934
28.12.2000;22,1;-0,017937701;492842;933
29.12.2000;22,5;0,017937701;1935341;1606
02.01.2001;22,6;0,004434597;390171;669
03.01.2001;22,3;-0,013363228;792402;902
04.01.2001;22,1;-0,00900907;793066;1075
05.01.2001;21,7;-0,018265348;864298;923
08.01.2001;20,9;-0,037563102;988390;1032
09.01.2001;21,3;0,018957914;1262257;829
10.01.2001;21;-0,014184635;940692;623
11.01.2001;20,7;-0,014388737;773294;681
12.01.2001;20,9;0,009615459;447954;525
15.01.2001;21,2;0,014252023;846932;629
16.01.2001;21,3;0,004705891;665956;637
17.01.2001;21,6;0,013986242;1103866;820
18.01.2001;21,8;0,009216655;892201;672
19.01.2001;22;0,009132484;1143217;1076
22.01.2001;21,5;-0,022989518;627515;625
23.01.2001;21,6;0,00464038;504558;533
24.01.2001;21,5;-0,00464038;494719;481
25.01.2001;21,8;0,013857035;712584;794
26.01.2001;21,9;0,004576667;943767;909
29.01.2001;22;0,004555817;669672;793
30.01.2001;21,9;-0,004555817;438045;689
31.01.2001;21,8;-0,004576667;406984;491
01.02.2001;21,9;0,004576667;632579;538
02.02.2001;21,7;-0,009174376;667148;683
05.02.2001;21,1;-0,02803922;871241;750
06.02.2001;21,1;0;996438;651
07.02.2001;20,6;-0,023981965;1074611;877
08.02.2001;20,9;0,014458083;672495;657
09.02.2001;20,5;-0,019324273;426099;503
12.02.2001;20,5;0;350062;540
13.02.2001;20,8;0,014528101;211528;424
14.02.2001;20,3;-0,024332101;544713;527
15.02.2001;19,75;-0,027467395;869677;1026
16.02.2001;18,9;-0,043991569;880280;1015
19.02.2001;19,1;0,010526413;889635;915
20.02.2001;18,9;-0,010526413;768701;843
21.02.2001;18,55;-0,018692133;928776;875
22.02.2001;18,15;-0,021799228;731107;785
23.02.2001;18,2;0,002751033;864698;859
26.02.2001;18,35;0,00820798;322510;461
27.02.2001;17,8;-0,030431117;384131;643
28.02.2001;17,85;0,002805051;556324;752
01.03.2001;17,25;-0,034191365;692825;674
02.03.2001;17,5;0,014388737;923291;798
05.03.2001;18,1;0,033711057;828675;729
06.03.2001;18,55;0,024557851;813266;811
07.03.2001;18,7;0,008053735;589788;634
08.03.2001;18,2;-0,02710193;321228;429
09.03.2001;17,65;-0,030685811;560503;613
12.03.2001;17,1;-0,03165732;746963;704
13.03.2001;17,65;0,03165732;932083;806
14.03.2001;17,15;-0,02873761;1358563;1049
15.03.2001;18,15;0,056672387;671770;757
16.03.2001;18,1;-0,002758622;662309;749
19.03.2001;17,95;-0,008321823;762108;569
20.03.2001;18,5;0,030180617;513683;612
