"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"2010","DE945","Number","ICCS0101","1",""
"2010","DE946","Number","ICCS0101","1",""
"2010","DE947","Number","ICCS0101","2",""
"2010","DE948","Number","ICCS0101","19",""
"2010","DE949","Number","ICCS0101","1",""
"2010","DE94A","Number","ICCS0101","0",""
"2010","DE94B","Number","ICCS0101","0",""
"2010","DE94C","Number","ICCS0101","0",""
"2010","DE94D","Number","ICCS0101","4",""
"2010","DE94E","Number","ICCS0101","4",""
"2010","DE94F","Number","ICCS0101","0",""
"2010","DE94G","Number","ICCS0101","1",""
"2010","DE94H","Number","ICCS0101","0",""
"2010","DEA","Number","ICCS0101","120",""
"2010","DEA11","Number","ICCS0101","5",""
"2010","DEA12","Number","ICCS0101","3",""
"2010","DEA13","Number","ICCS0101","3",""
"2010","DEA14","Number","ICCS0101","2",""
"2010","DEA15","Number","ICCS0101","1",""
"2010","DEA16","Number","ICCS0101","0",""
"2010","DEA17","Number","ICCS0101","2",""
"2010","DEA18","Number","ICCS0101","2",""
"2010","DEA19","Number","ICCS0101","0",""
"2010","DEA1A","Number","ICCS0101","5",""
"2010","DEA1B","Number","ICCS0101","0",""
"2010","DEA1C","Number","ICCS0101","4",""
"2010","DEA1D","Number","ICCS0101","0",""
"2010","DEA1E","Number","ICCS0101","1",""
"2010","DEA1F","Number","ICCS0101","3",""
"2010","DEA22","Number","ICCS0101","5",""
"2010","DEA23","Number","ICCS0101","20",""
"2010","DEA24","Number","ICCS0101","1",""
"2010","DEA26","Number","ICCS0101","2",""
"2010","DEA27","Number","ICCS0101","1",""
"2010","DEA28","Number","ICCS0101","2",""
"2010","DEA29","Number","ICCS0101","2",""
"2010","DEA2A","Number","ICCS0101","2",""
"2010","DEA2B","Number","ICCS0101","0",""
"2010","DEA2C","Number","ICCS0101","8",""
"2010","DEA2D","Number","ICCS0101","4",""
"2010","DEA31","Number","ICCS0101","1",""
"2010","DEA32","Number","ICCS0101","2",""
"2010","DEA33","Number","ICCS0101","1",""
"2010","DEA34","Number","ICCS0101","0",""
"2010","DEA35","Number","ICCS0101","1",""
"2010","DEA36","Number","ICCS0101","3",""
